Code;Titel;Aantal documenten;Documenttype;Opmerkingen
9.2;Notulen of resoluties crimineel, met inbegrip van extracten;9;Notulen;
9.3;Notulen of resoluties gemengd of onduidelijk, met inbegrip van extracten;27;Notulen;
9.4;Rekesten crimineel;1;Rekest;
9.5;Rekesten gemengd of onduidelijk;3;Rekest;
9.6;Rollen civiel, serieel;0;n/a;
9.7;Rollen crimineel, serieel;7;Lijst;
9.8;Rollen gemengd of onduidelijk, serieel;1;Lijst;
9.9;Appointementen civiel;0;n/a;
9.10;Appointementen crimineel;12;Appointement;
9.11;Appointementen gemengd of onduidelijk;7;Appointement;
9.12;Processtukken civiel, serieel;0;n/a;
9.13;Processtukken crimineel, serieel;45;Processtuk;
9.14;Processtukken gemengd of onduidelijk, serieel;1;Processtuk;
9.15;Sententies civiel, serieel;0;n/a;
9.16;Sententies crimineel, serieel;8;Sententie;
9.17;Sententies gemengd of onduidelijk, serieel;27;Sententie;
9.18;Sententies civiel, incidenteel;1;Sententie;
9.19;Sententies crimineel, incidenteel;100;Sententie;
9.20;Sententies gemengd of onduidelijk, incidenteel;20;Sententie;
9.21;Overige losse stukken civiel;26;Miscellaneous ;
9.22;Overige losse stukken crimineel;213;Miscellaneous ;
9.23;Overige losse stukken gemengd of onduidelijk;137;Miscellaneous ;
10;Stukken betreffende personeel en bevolking, en lijsten en staten van personen;4643;;
10.1;Monsterrollen of samenvattingen van een vestiging of onderkantoor ;926;Lijst;
10.2;Monsterrollen of samenvattingen van schepen;355;Lijst;
10.3;Rollen van gekwalificeerden;123;Lijst;
10.4;Akten van verbetering en/of indienstneming ;237;Akte;
10.5;Overige akten of andere stukken betreffende individuele personen;424;Akte;
10.6;Lijsten of samenvattingen van bevolking of burgers;522;Lijst;
10.7;Lijsten van scholieren;65;Lijst;
10.8;Lijsten van gerepatrieerden;998;Lijst;
10.9;Lijsten of rollen van vrijburgers;96;Lijst;
10.10;Overige lijsten van personen;1217;Lijst;
11;Stukken betreffende handel;5557;;
11.1;Facturen;781;Factuur;kan mogelijk worden samengevoegd met 'rekening'
11.2;Eisen;1389;Eis;
11.3;Overzichten en vergelijkingen;3435;Lijst;
12;Stukken betreffende boekhouding en financiën;8843;;
12.1;Grootboeken algemeen;28;Grootboek;
12.2;Grootboeken negotie;78;Grootboek;
12.3;Grootboeken personeel;6;Grootboek;
12.4;Grootboeken kas;0;n/a;
12.5;Grootboeken, overigen;1;Grootboek;
12.6;Journalen algemeen;32;Grootboek;
12.7;Journalen negotie;71;Grootboek;
12.8;Journalen personeel;4;Grootboek;
12.9;Journalen kas;136;Grootboek;
12.10;Journalen, overigen;20;Grootboek;
12.11;Extracten boekhouding;501;Grootboek;
12.12;Memorialen ;3;Memorie;
12.13;Balansen of staatrekeningen van de vestiging;1031;Rekening;
12.14;Balansen of staatrekeningen van onderkantoren of instellingen van de vestiging;514;Rekening;
12.15;Liquidatie of egalisatie op de retouren;269;Liquidatie;
12.16;Rendementen ;1847;Rendement;
12.17;Lijsten en andere stukken betreffende geschenken;462;Lijst;
12.18;Lijsten van wissels en betalingen;264;Lijst;
12.19;Overige berekeningen en specificaties;3945;Rekening;
13;Stukken betreffende schepen en equipage;5218;;
13.1;Lijsten van scheepsbewegingen ;1901;Lijst;
13.2;Lijsten van navale macht;882;Lijst;
13.3;Consumptie- of onkostenrekeningen;421;Rekening;
13.4;Manifesten en lijsten van lading;1211;Lijst;
13.5;Scheepsjournalen ;284;Dagregister;
13.6;Inventarissen van de uitrusting;590;Inventaris;
13.7;Rekeningen betreffende de uitrusting ;22;Rekening;
14;Overige stukken;4900;;
14.1;Verklaringen betreffende handel, of boekhouding en financiën, of schepen en equipage;4284;Verklaring;
14.2;Varia ;617;Miscellaneous ;
